ID,lat,lon,Station,state or country,country,Years,Range,
PKB,39.34,-81.44,Parkersburg, West Virginia , United States ,48.5,1949-1954 1973-1996 2001-2020 ,
GLD,39.37,-101.69,Goodland, Kansas , United States ,72.7,1948-2020 ,
MRB,39.4,-77.95,Martinsburg, West Virginia , United States ,62.9,1949-1964 1973-2020 ,
ACY,39.45,-74.57,Atlantic City, New Jersey , United States ,72.9,1947-2020 ,
RNO,39.48,-119.77,Reno, Nevada , United States ,74.6,1943-1945 1949-2020 ,
CNK,39.55,-97.65,Concordia, Kansas , United States ,59.1,1948 1962-2020 ,
MGW,39.64,-79.92,Morgantown, West Virginia , United States ,49.4,1949-1954 1973-1995 1999-2020 ,
ILG,39.67,-75.61,Wilmington, Delaware , United States ,76,1943-1945 1948-2020 ,
IND,39.73,-86.28,Indianapolis, Indiana , United States ,76.2,1943-1945 1948-2020 ,
DEN,39.83,-104.66,Denver, Colorado , United States ,79.8,1940-1945 1947-2020 ,
SPI,39.85,-89.68,Springfield, Illinois , United States ,72.7,1948-2020 ,
PHL,39.87,-75.23,Philadelphia, Pennsylvania , United States ,79.9,1941-2020 ,
DAY,39.91,-84.22,Dayton, Ohio , United States ,72.9,1948-2020 ,
UIN,39.94,-91.19,Quincy, Illinois , United States ,53.2,1949-1954 1973-2020 ,
ZZV,39.94,-81.89,Zanesville, Ohio , United States ,53.3,1949-1954 1973-2020 ,
CMH,39.99,-82.88,Columbus, Ohio , United States ,73.4,1948-2020 ,
WRI,40.02,-74.6,Wrightstown, New Jersey , United States ,74.1,1943-1945 1949-2020 ,
LOL,40.07,-118.57,Lovelock, Nevada , United States ,64.9,1949-1981 1988-2020 ,
RBL,40.15,-122.25,Red Bluff, California , United States ,67.8,1948-1985 1988-1990 19921993 1996-2020 ,
MDT,40.2,-76.77,Harrisburg, Pennsylvania , United States ,82.5,1938-2020 ,
AOO,40.3,-78.32,Altoona, Pennsylvania , United States ,51.2,1949-1954 1973-1976 1978-2020 ,
PIT,40.49,-80.21,Pittsburgh, Pennsylvania , United States ,71.9,1949-2020 ,
